triad_id,historian_1_name,historian_2_name,historian_3_name,historian_1_id,historian_2_id,historian_3_id,side_1,side_2,side_3,perimeter,area,min_angle,max_angle,angle_variance,retrieval_query,created_at
1,John Marincola,David F. Noble,Claude S. Fischer,https://openalex.org/A5046659216,https://openalex.org/A5103642316,https://openalex.org/A5002552336,0.8899391293525696,0.8469859957695007,0.8354032039642334,2.5723283290863037,0.3176235258579254,1.002398133277893,1.1147047281265259,0.00235995021648705,historiography ancient authority,2026-03-13 09:22:42.104911
2,John Marincola,Nancy C. M. Hartsock,David F. Noble,https://openalex.org/A5046659216,https://openalex.org/A5086786755,https://openalex.org/A5103642316,0.7308111786842346,0.8949692249298096,0.8899391293525696,2.515719413757324,0.2975131869316101,0.8436605930328369,1.1552456617355347,0.02073994278907776,historiography ancient authority,2026-03-13 09:22:58.884042
3,David F. Noble,Gyan Prakash,Claude S. Fischer,https://openalex.org/A5103642316,https://openalex.org/A5101722726,https://openalex.org/A5002552336,0.854171097278595,0.7843152284622192,0.8469859957695007,2.4854724407196045,0.2959812581539154,0.9583175778388977,1.0997668504714966,0.003993879538029432,history historical,2026-03-13 09:23:21.449914
4,David F. Noble,Gabrielle M. Spiegel,Claude S. Fischer,https://openalex.org/A5103642316,https://openalex.org/A5073828591,https://openalex.org/A5002552336,0.8515259027481079,0.779341459274292,0.8469859957695007,2.477853298187256,0.29403308033943176,0.9533596634864807,1.0992923974990845,0.004420632030814886,history historical,2026-03-13 09:23:35.541436
5,E.F.K. Koerner,David F. Noble,Arjun Appadurai,https://openalex.org/A5111379049,https://openalex.org/A5103642316,https://openalex.org/A5019075743,0.9244338870048523,0.8652524352073669,0.7169764041900635,2.5066628456115723,0.29292032122612,0.8218709230422974,1.2356044054031372,0.029210763052105904,historiography linguistic linguistics,2026-03-13 09:23:50.714519
6,Nancy C. M. Hartsock,E.F.K. Koerner,David F. Noble,https://openalex.org/A5086786755,https://openalex.org/A5111379049,https://openalex.org/A5103642316,0.6940873265266418,0.9244338870048523,0.8949692249298096,2.5134904384613037,0.29156693816185,0.7821833491325378,1.2189604043960571,0.03614361211657524,historical feminist materialism,2026-03-13 09:24:06.264275
7,Arnaldo Momigliano,David F. Noble,Claude S. Fischer,https://openalex.org/A5061949360,https://openalex.org/A5103642316,https://openalex.org/A5002552336,0.8413678407669067,0.8469859957695007,0.7724995613098145,2.460853338241577,0.2899230718612671,0.950445294380188,1.1020405292510986,0.004708382301032543,historiography ancient life,2026-03-13 09:24:21.612741
8,E.F.K. Koerner,David F. Noble,Claude S. Fischer,https://openalex.org/A5111379049,https://openalex.org/A5103642316,https://openalex.org/A5002552336,0.9244338870048523,0.8469859957695007,0.7081968784332275,2.479616641998291,0.2857497036457062,0.8181765675544739,1.2622125148773193,0.032959405332803726,historiography linguistic linguistics,2026-03-13 09:24:34.622884
9,F. M. L. Thompson,E.F.K. Koerner,David F. Noble,https://openalex.org/A5113835045,https://openalex.org/A5111379049,https://openalex.org/A5103642316,0.6888229250907898,0.9244338870048523,0.8730043768882751,2.4862611293792725,0.28510016202926636,0.7845934629440308,1.2475454807281494,0.037658676505088806,social society cambridge,2026-03-13 09:24:51.018165
10,John Marincola,F. M. L. Thompson,David F. Noble,https://openalex.org/A5046659216,https://openalex.org/A5113835045,https://openalex.org/A5103642316,0.7033940553665161,0.8730043768882751,0.8899391293525696,2.4663374423980713,0.28418394923210144,0.8206146955490112,1.1825681924819946,0.025994887575507164,historiography ancient authority,2026-03-13 09:25:06.255179
