paperId,title,year,paperCitationCount,history_relevance_score,authorId,authorName,authorPosition,authorCount,isFirstAuthor,isLastAuthor
https://openalex.org/W2045633722,"Trust, Reciprocity, and Social History",1995,5560,2,https://openalex.org/A5021459093,Joyce E. Berg,1,3,1,0
https://openalex.org/W2045633722,"Trust, Reciprocity, and Social History",1995,5560,2,https://openalex.org/A5062148925,John Dickhaut,2,3,0,0
https://openalex.org/W2045633722,"Trust, Reciprocity, and Social History",1995,5560,2,https://openalex.org/A5076630423,Kevin McCabe,3,3,0,1
https://openalex.org/W2162874368,The Feminist Standpoint: Developing the Ground for a Specifically Feminist Historical Materialism,2005,1446,5,https://openalex.org/A5086786755,Nancy C. M. Hartsock,1,1,1,1
https://openalex.org/W4298054234,A Contemporary Critique of Historical Materialism,1981,1522,2,https://openalex.org/A5034980949,Anthony Giddens,1,1,1,1
https://openalex.org/W1572168882,Centuries of Childhood. A Social History of Family Life,1963,2498,3,https://openalex.org/A5031989324,Jessie Bernard,1,4,1,0
https://openalex.org/W1572168882,Centuries of Childhood. A Social History of Family Life,1963,2498,3,https://openalex.org/A5063604166,Philippe Ariès,2,4,0,0
https://openalex.org/W1572168882,Centuries of Childhood. A Social History of Family Life,1963,2498,3,https://openalex.org/A5058324502,Robert Baldick,3,4,0,0
https://openalex.org/W1572168882,Centuries of Childhood. A Social History of Family Life,1963,2498,3,https://openalex.org/A5034333594,J. Louise Despert,4,4,0,1
https://openalex.org/W1527454661,A Contemporary Critique of Historical Materialism,1995,1203,5,https://openalex.org/A5034980949,Anthony Giddens,1,1,1,1
https://openalex.org/W2170667996,Discovering the News: A Social History of American Newspapers,1979,1467,2,https://openalex.org/A5090766306,Thomas C. Leonard,1,2,1,0
https://openalex.org/W2170667996,Discovering the News: A Social History of American Newspapers,1979,1467,2,https://openalex.org/A5077227037,Michael Schudson,2,2,0,1
https://openalex.org/W4252368274,A Social History of Truth,1994,1825,2,https://openalex.org/A5002530200,Steven Shapin,1,1,1,1
https://openalex.org/W1517531651,In the Tracks of Historical Materialism,1985,295,3,https://openalex.org/A5110574684,Perry Anderson,1,1,1,1
